sub_dest_x,sub_dest_y,connection_time,duration,start_x,start_y,end_x,end_y,initial_vel(x),initial_vel(y),x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,circle_obst_x,circle_obst_y,circle_obst_rad,total_cost
-0.0809017,-0.0587785,0.2,1.74933,0,0,1.4,0,0,0,0,0,-0.00921726,-0.00683598,-0.036869,-0.0273439,-0.0667872,-0.0522849,-0.0744183,-0.0730421,-0.0594242,-0.0899449,-0.021805,-0.102993,0.0384394,-0.112187,0.121309,-0.117527,0.226804,-0.119012,0.354924,-0.116643,0.505669,-0.11042,0.678858,-0.100342,0.848189,-0.0864099,0.994894,-0.0686234,1.11897,-0.0481797,1.22043,-0.030835,1.29926,-0.0173447,1.35546,-0.00770875,1.38904,-0.00192719,1.4,0,0.6,0,0.7,6.24933
-0.05,-0.0866025,0.2,1.69523,0,0,1.4,0,0,0,0,0,-0.00554039,-0.00924359,-0.0221616,-0.0369744,-0.0393663,-0.0729346,-0.036547,-0.103001,-0.0129028,-0.127511,0.0315663,-0.146463,0.0968604,-0.159858,0.182979,-0.167696,0.289923,-0.169977,0.417692,-0.1667,0.566286,-0.157867,0.733603,-0.143476,0.88979,-0.123528,1.02515,-0.0980224,1.13969,-0.0686945,1.2334,-0.0438417,1.30629,-0.024546,1.35835,-0.0108075,1.38959,-0.00262623,1.4,-2.77556e-17,0.6,0,0.7,6.04523
-0.0104528,-0.0994522,0.2,1.62362,0,0,1.4,0,0,0,0,0,-0.00108961,-0.00982531,-0.00435843,-0.0393013,-0.0059901,-0.0792992,0.00928922,-0.112875,0.0433418,-0.140249,0.0961675,-0.161421,0.167766,-0.176391,0.258139,-0.185159,0.367284,-0.187726,0.495203,-0.18409,0.641894,-0.174253,0.799257,-0.158214,0.940056,-0.135973,1.06208,-0.10753,1.16533,-0.0750017,1.24981,-0.0476018,1.31552,-0.0264038,1.36245,-0.0114077,1.39061,-0.00261334,1.4,-2.77556e-17,0.6,0,0.7,5.82362
0.0309017,-0.0951057,0.2,1.54254,0,0,1.4,0,0,0,0,0,0.00279895,-0.00847255,0.0111958,-0.0338902,0.0246851,-0.0704386,0.0518096,-0.101616,0.0958444,-0.127092,0.15679,-0.146865,0.234646,-0.160937,0.329412,-0.169308,0.441088,-0.171976,0.569675,-0.168943,0.715127,-0.160208,0.858866,-0.145771,0.985694,-0.125632,1.09561,-0.099792,1.18862,-0.0699122,1.26472,-0.0445275,1.3239,-0.0248446,1.36618,-0.0108635,1.39154,-0.00258413,1.4,-2.77556e-17,0.6,0,0.7,5.44254
0.0669131,-0.0743145,0.2,1.46677,0,0,1.4,0,0,0,0,0,0.00541803,-0.00597788,0.0216721,-0.0239115,0.0468706,-0.0510145,0.0831942,-0.0746989,0.135069,-0.0940796,0.202495,-0.109157,0.285472,-0.11993,0.384,-0.1264,0.49808,-0.128567,0.627711,-0.12643,0.770177,-0.119989,0.902362,-0.109244,1.019,-0.0941965,1.12008,-0.0748449,1.20561,-0.0524026,1.27559,-0.0333167,1.33002,-0.0185344,1.3689,-0.00805574,1.39222,-0.00188064,1.4,-2.77556e-17,0.6,0,0.7,5.21677
0.0913545,-0.0406737,0.2,1.41211,0,0,1.4,0,0,0,0,0,0.0068362,-0.00303028,0.0273448,-0.0121211,0.0595684,-0.0263096,0.101386,-0.0390182,0.157984,-0.0494416,0.229362,-0.0575799,0.315519,-0.063433,0.416456,-0.067001,0.532173,-0.0682838,0.66267,-0.0672815,0.801417,-0.063994,0.927046,-0.0584214,1.03789,-0.0505636,1.13396,-0.0404207,1.21525,-0.0285018,1.28176,-0.0182312,1.33349,-0.0102457,1.37044,-0.00454531,1.39261,-0.0011301,1.4,6.93889e-18,0.6,0,0.7,5.01211
1,0,0.2,1.36626,0,0,1.4,0,0,0,0,0,0.007,0,0.028,0,0.063,0,0.112,0,0.175,0,0.252,0,0.343,0,0.448,0,0.567,0,0.7,0,0.833,0,0.952,0,1.057,0,1.148,0,1.225,0,1.288,0,1.337,0,1.372,0,1.393,0,1.4,0,0.6,0,0.7,4.81626
1,0,0.4,1.36626,0,0,1.4,0,0,0,0,0,0.007,0,0.028,0,0.063,0,0.112,0,0.175,0,0.252,0,0.343,0,0.448,0,0.567,0,0.7,0,0.833,0,0.952,0,1.057,0,1.148,0,1.225,0,1.288,0,1.337,0,1.372,0,1.393,0,1.4,0,0.6,0,0.7,4.81626
1,0,0.6,1.3735,0,0,1.4,0,0,0,0,0,0.00707433,0,0.0282973,0,0.063669,0,0.113189,0,0.176858,0,0.254676,0,0.346642,0,0.452757,0,0.569026,0,0.694106,0,0.826979,0,0.947243,0,1.05336,0,1.14532,0,1.22314,0,1.28681,0,1.33633,0,1.3717,0,1.39293,0,1.4,0,0.6,0,0.7,4.8235
1,0,0.8,1.46343,0,0,1.4,0,0,0,0,0,0.00803105,0,0.0321242,0,0.0722795,0,0.128497,0,0.200776,0,0.289118,0,0.393522,0,0.513795,0,0.630739,0,0.731622,0,0.816514,0,0.90348,0,1.00651,0,1.11088,0,1.19922,0,1.2715,0,1.32772,0,1.36788,0,1.39197,0,1.4,0,0.6,0,0.7,5.21343
1,0,1,1.63843,0,0,1.4,0,0,0,0,0,0.0100667,0,0.0402668,0,0.0906004,0,0.161067,0,0.251668,0,0.362402,0,0.493269,0,0.626007,0,0.738658,0,0.831175,0,0.903558,0,0.955809,0,1.00059,0,1.06465,0,1.14884,0,1.23893,0,1.3094,0,1.35973,0,1.38993,0,1.4,0,0.6,0,0.7,5.83843
