sub_dest_x,sub_dest_y,connection_time,duration,start_x,start_y,end_x,end_y,initial_vel(x),initial_vel(y),x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,circle_obst_x,circle_obst_y,circle_obst_rad,total_cost
-2.09781,0.0207912,0.8,3.2,-2,0,2,0,3,0,-2,0,-1.5584,0.00011781,-1.1936,0.000471238,-0.905598,0.00106029,-0.694397,0.00188495,-0.559995,0.00294524,-0.425594,0.00400552,-0.214393,0.00483019,0.0736083,0.00541924,0.438409,0.00577267,0.867146,0.00589048,1.24589,0.00577267,1.54783,0.00541924,1.77297,0.00483019,1.92131,0.00400552,1.99285,0.00294524,2,0.00188495,2,0.00106029,2,0.000471238,2,0.00011781,2,4.33681e-19,1.4,0,0.5,4.8
-2.09781,-0.0207912,0.2,1.82774,-2,0,2,0,3,0,-2,0,-1.73837,-3.84335e-05,-1.50179,-0.000153734,-1.27376,-0.000295281,-1.02157,-0.000362693,-0.744331,-0.000353237,-0.442034,-0.000266915,-0.117118,-0.000118238,0.196065,-2.18487e-05,0.484193,-2.71051e-20,0.747267,-2.71051e-20,0.985287,-2.71051e-20,1.19825,-2.71051e-20,1.38616,-2.71051e-20,1.54902,-2.71051e-20,1.68682,-2.71051e-20,1.79956,-2.71051e-20,1.88725,-2.71051e-20,1.94989,-2.71051e-20,1.98747,-2.71051e-20,2,-2.71051e-20,1.4,0,0.5,6.85547
-2.09781,-0.0207912,0.4,1.9848,-2,0,2,0,3,0,-2,0,-1.71705,-4.53224e-05,-1.46365,-0.00018129,-1.2398,-0.000407902,-1.04549,-0.000725159,-0.852958,-0.00104788,-0.630912,-0.00128005,-0.379321,-0.00142157,-0.0981849,-0.00147245,0.212495,-0.00143268,0.522724,-0.00130227,0.803406,-0.00108121,1.05454,-0.000769507,1.27613,-0.000441908,1.46818,-0.000204187,1.63068,-5.71115e-05,1.76364,-6.80661e-07,1.86705,-1.0842e-19,1.94091,-1.0842e-19,1.98523,-1.0842e-19,2,-1.0842e-19,1.4,0,0.5,6.70866
-2.09781,-0.0207912,0.6,2.4,-2,0,2,0,3,0,-2,0,-1.6616,-6.62679e-05,-1.3664,-0.000265071,-1.1144,-0.000596411,-0.905598,-0.00106029,-0.739997,-0.0016567,-0.574397,-0.00225311,-0.365596,-0.00271698,-0.113595,-0.00304832,0.181605,-0.00324713,0.519972,-0.00331339,0.855966,-0.00324713,1.14876,-0.00304832,1.39836,-0.00271698,1.60475,-0.00225311,1.76795,-0.0016567,1.88794,-0.00106029,1.96474,-0.000596411,1.99833,-0.000265071,2,-6.62679e-05,2,-4.33681e-19,1.4,0,0.5,7.34404
-2.09781,-0.0207912,0.8,3.2,-2,0,2,0,3,0,-2,0,-1.5584,-0.00011781,-1.1936,-0.000471238,-0.905598,-0.00106029,-0.694397,-0.00188495,-0.559995,-0.00294524,-0.425594,-0.00400552,-0.214393,-0.00483019,0.0736083,-0.00541924,0.438409,-0.00577267,0.867146,-0.00589048,1.24589,-0.00577267,1.54783,-0.00541924,1.77297,-0.00483019,1.92131,-0.00400552,1.99285,-0.00294524,2,-0.00188495,2,-0.00106029,2,-0.000471238,2,-0.00011781,2,-4.33681e-19,1.4,0,0.5,4.8
-2.0809,-0.0587785,0.2,2.7491,-2,0,2,0,3,0,-2,0,-1.61597,-0.000434726,-1.27179,-0.00158397,-0.882653,-0.00266732,-0.436839,-0.00357677,0.0490503,-0.00431233,0.490992,-0.00487399,0.876252,-0.00526176,1.20483,-0.00547563,1.47673,-0.0055156,1.69194,-0.00538167,1.85048,-0.00507384,1.95233,-0.00459212,1.9975,-0.0039365,2,-0.00310699,2,-0.00217371,2,-0.00139118,2,-0.000782537,2,-0.000347794,2,-8.69485e-05,2,-4.33681e-19,1.4,0,0.5,8.52592
-2.0809,-0.0587785,0.4,2.2592,-2,0,2,0,3,0,-2,0,-1.68026,-0.00029359,-1.39879,-0.00117436,-1.1556,-0.00264231,-0.942623,-0.00459851,-0.702574,-0.00633993,-0.424247,-0.00772902,-0.107642,-0.0087658,0.246857,-0.00945026,0.59407,-0.00978241,0.903005,-0.00976223,1.17366,-0.00938974,1.40604,-0.00866494,1.60014,-0.00758781,1.75596,-0.00615837,1.87351,-0.00440396,1.95278,-0.00281854,1.99376,-0.00158543,2,-0.000704634,2,-0.000176159,2,-1.73472e-18,1.4,0,0.5,7.24225
-2.0809,-0.0587785,0.6,2.4,-2,0,2,0,3,0,-2,0,-1.6616,-0.000331327,-1.36639,-0.00132531,-1.11438,-0.00298194,-0.905559,-0.00530123,-0.739936,-0.00828317,-0.574314,-0.0112651,-0.365496,-0.0135844,-0.113483,-0.015241,0.181725,-0.016235,0.520093,-0.0165663,0.856055,-0.016235,1.14882,-0.015241,1.39839,-0.0135844,1.60477,-0.0112651,1.76795,-0.00828317,1.88794,-0.00530123,1.96474,-0.00298194,1.99833,-0.00132531,2,-0.000331327,2,0,1.4,0,0.5,7.3441
-2.0809,-0.0587785,0.8,2.62342,-2,0,2,0,3,0,-2,0,-1.63229,-0.000395886,-1.3162,-0.00158354,-1.05171,-0.00356297,-0.838839,-0.00633417,-0.677578,-0.00989715,-0.567927,-0.0142519,-0.467984,-0.018627,-0.31694,-0.0219029,-0.114291,-0.0240704,0.139964,-0.0251294,0.445825,-0.02508,0.798595,-0.0239222,1.12493,-0.0216559,1.39965,-0.0182812,1.62277,-0.013798,1.79429,-0.00886751,1.9142,-0.00498797,1.9825,-0.00221688,2,-0.000554219,2,0,1.4,0,0.5,3.64684
-2.05,-0.0866025,0.2,1.82775,-2,0,2,0,3,0,-2,0,-1.73836,-0.000269016,-1.50177,-0.00107606,-1.27374,-0.00216805,-1.02154,-0.00304309,-0.744281,-0.00368753,-0.441972,-0.00410138,-0.117055,-0.00428462,0.196119,-0.00423726,0.484239,-0.0039593,0.747305,-0.00345075,0.985317,-0.00271159,1.19827,-0.00177688,1.38618,-0.000986918,1.54903,-0.000427558,1.68683,-9.87975e-05,1.79957,0,1.88726,0,1.94989,0,1.98747,0,2,0,1.4,0,0.5,6.85546
-2.05,-0.0866025,0.4,1.99687,-2,0,2,0,3,0,-2,0,-1.71542,-0.000321103,-1.46074,-0.00128441,-1.23596,-0.00288992,-1.04107,-0.00513764,-0.846563,-0.00748398,-0.622151,-0.00937161,-0.367837,-0.0108005,-0.0836202,-0.0117707,0.230382,-0.0122821,0.540749,-0.0123348,0.821214,-0.0119287,1.07178,-0.0110639,1.29244,-0.00974042,1.48319,-0.00795817,1.64405,-0.00573419,1.775,-0.00366988,1.87605,-0.00206431,1.9472,-0.000917471,1.98844,-0.000229368,2,0,1.4,0,0.5,6.72073
-2.05,-0.0866025,0.6,2.19346,-2,0,2,0,3,0,-2,0,-1.68902,-0.000387439,-1.41412,-0.00154976,-1.17529,-0.00348695,-0.972535,-0.00619903,-0.805859,-0.00968598,-0.665157,-0.0136998,-0.496381,-0.0169138,-0.291534,-0.0191315,-0.0506169,-0.0203529,0.226371,-0.0205782,0.53914,-0.0198072,0.845741,-0.0180401,1.11627,-0.0152767,1.35073,-0.011517,1.54912,-0.00728459,1.71144,-0.00397296,1.83768,-0.00165755,1.92786,-0.000338361,1.98196,3.46945e-18,2,3.46945e-18,1.4,0,0.5,6.93105
-2.05,-0.0866025,0.8,2.46925,-2,0,2,0,3,0,-2,0,-1.65247,-0.000490995,-1.35066,-0.00196398,-1.09457,-0.00441895,-0.884197,-0.00785592,-0.719542,-0.0122749,-0.600606,-0.0176758,-0.515014,-0.023717,-0.394237,-0.0285057,-0.227757,-0.0317514,-0.0155736,-0.0334542,0.242313,-0.0336141,0.545902,-0.032231,0.880276,-0.0293049,1.17735,-0.0248359,1.42871,-0.018824,1.63438,-0.01207,1.79434,-0.00673846,1.90859,-0.00294987,1.97715,-0.000704224,2,0,1.4,0,0.5,3.33851
-2.01045,-0.0994522,0.2,1.82775,-2,0,2,0,3,0,-2,0,-1.73836,-0.000269016,-1.50177,-0.00107606,-1.27374,-0.00216805,-1.02154,-0.00304309,-0.744281,-0.00368753,-0.441972,-0.00410138,-0.117055,-0.00428462,0.196119,-0.00423726,0.484239,-0.0039593,0.747305,-0.00345075,0.985317,-0.00271159,1.19827,-0.00177688,1.38618,-0.000986918,1.54903,-0.000427558,1.68683,-9.87975e-05,1.79957,0,1.88726,0,1.94989,0,1.98747,0,2,0,1.4,0,0.5,6.85546
-2.01045,-0.0994522,0.4,1.99687,-2,0,2,0,3,0,-2,0,-1.71542,-0.000321103,-1.46074,-0.00128441,-1.23596,-0.00288992,-1.04107,-0.00513764,-0.846563,-0.00748398,-0.622151,-0.00937161,-0.367837,-0.0108005,-0.0836202,-0.0117707,0.230382,-0.0122821,0.540749,-0.0123348,0.821214,-0.0119287,1.07178,-0.0110639,1.29244,-0.00974042,1.48319,-0.00795817,1.64405,-0.00573419,1.775,-0.00366988,1.87605,-0.00206431,1.9472,-0.000917471,1.98844,-0.000229368,2,0,1.4,0,0.5,6.72073
-2.01045,-0.0994522,0.6,2.19346,-2,0,2,0,3,0,-2,0,-1.68902,-0.000387439,-1.41412,-0.00154976,-1.17529,-0.00348695,-0.972535,-0.00619903,-0.805859,-0.00968598,-0.665157,-0.0136998,-0.496381,-0.0169138,-0.291534,-0.0191315,-0.0506169,-0.0203529,0.226371,-0.0205782,0.53914,-0.0198072,0.845741,-0.0180401,1.11627,-0.0152767,1.35073,-0.011517,1.54912,-0.00728459,1.71144,-0.00397296,1.83768,-0.00165755,1.92786,-0.000338361,1.98196,3.46945e-18,2,3.46945e-18,1.4,0,0.5,6.93105
